,#,Glycan,Antenna 1,Antenna 2,Antenna 3,Antenna 4,Formula,Monoisotopic mass,Man,Fuc,Bisecting Gn,Host Cell Line,NSa,NGn,NGal,NHex
43,44,A2G2M5F,G-Gn-,G-Gn-,None,None,C80H132N4O59,2092.75,5,1,0,CHO-N-glycan,0,2,2,4
44,45,A3G2,G-Gn-,G-Gn-,Gn-,None,C70H115N5O50,1825.66,3,0,0,CHO-N-glycan,0,3,2,2
45,46,A3G2F,G-Gn-,G-Gn-,Gn-,None,C76H125N5O54,1971.72,3,1,0,CHO-N-glycan,0,3,2,2
46,47,A4G2,G-Gn-,G-Gn-,Gn-,Gn-,C78H128N6O55,2028.74,3,0,0,CHO-N-glycan,0,4,2,2
47,48,A4G2F,G-Gn-,G-Gn-,Gn-,Gn-,C84H138N6O59,2174.8,3,1,0,CHO-N-glycan,0,4,2,2
48,49,A3G3,G-Gn-,G-Gn-,G-Gn-,None,C76H125N5O55,1987.71,3,0,0,CHO-N-glycan,0,3,3,3
49,50,A3G3F,G-Gn-,G-Gn-,G-Gn-,None,C82H135N5O59,2133.77,3,1,0,CHO-N-glycan,0,3,3,3
50,51,A4G3,G-Gn-,G-Gn-,G-Gn-,Gn-,C84H138N6O60,2190.79,3,0,0,CHO-N-glycan,0,4,3,3
51,52,A4G3F,G-Gn-,G-Gn-,G-Gn-,Gn-,C90H148N6O64,2336.85,3,1,0,CHO-N-glycan,0,4,3,3
52,53,A4G4,G-Gn-,G-Gn-,G-Gn-,G-Gn-,C90H148N6O65,2352.85,3,0,0,CHO-N-glycan,0,4,4,4
53,54,A4G4F,G-Gn-,G-Gn-,G-Gn-,G-Gn-,C96H158N6O69,2498.9,3,1,0,CHO-N-glycan,0,4,4,4
54,55,A1S1,S-G-Gn-,None,None,None,C59H96N4O43,1548.54,3,0,0,CHO-N-glycan,1,1,1,1
55,56,A1S1F,S-G-Gn-,None,None,None,C65H106N4O47,1694.6,3,1,0,CHO-N-glycan,1,1,1,1
56,57,A1S1M4,S-G-Gn-,None,None,None,C65H106N4O48,1710.6,4,0,0,CHO-N-glycan,1,1,1,2
57,58,A1S1M4F,S-G-Gn-,None,None,None,C71H116N4O52,1856.66,4,1,0,CHO-N-glycan,1,1,1,2
58,59,A1S1M5,S-G-Gn-,None,None,None,C71H116N4O53,1872.65,5,0,0,CHO-N-glycan,1,1,1,3
59,60,A1S1M5F,S-G-Gn-,None,None,None,C77H126N4O57,2018.71,5,1,0,CHO-N-glycan,1,1,1,3
60,61,A2S1G0,S-G-Gn-,None,Gn-,None,C67H109N5O48,1751.62,3,0,0,CHO-N-glycan,1,2,1,1
61,62,A2S1G0F,S-G-Gn-,None,Gn-,None,C73H119N5O52,1897.68,3,1,0,CHO-N-glycan,1,2,1,1
62,63,A2S1G1,S-G-Gn-,None,G-Gn-,None,C73H119N5O53,1913.68,3,0,0,CHO-N-glycan,1,2,2,2
63,64,A2S1G1F,S-G-Gn-,None,G-Gn-,None,C79H129N5O57,2059.73,3,1,0,CHO-N-glycan,1,2,2,2
64,65,A2S2,S-G-Gn-,None,S-G-Gn-,None,C84H136N6O61,2204.77,3,0,0,CHO-N-glycan,2,2,2,2
65,66,A2S2F,S-G-Gn-,None,S-G-Gn-,None,C90H146N6O65,2350.83,3,1,0,CHO-N-glycan,2,2,2,2
66,67,A2S1G0M4,S-G-Gn-,Gn-,None,None,C73H119N5O53,1913.68,4,0,0,CHO-N-glycan,1,2,1,2
67,68,A2S1G0M4F,S-G-Gn-,Gn-,None,None,C79H129N5O57,2059.73,4,1,0,CHO-N-glycan,1,2,1,2
68,69,A2S1G0M5,S-G-Gn-,Gn-,None,None,C79H129N5O58,2075.73,5,0,0,CHO-N-glycan,1,2,1,3
69,70,A2S1G0M5F,S-G-Gn-,Gn-,None,None,C85H139N5O62,2221.79,5,1,0,CHO-N-glycan,1,2,1,3
70,71,A3S1G0,S-G-Gn-,Gn-,Gn-,None,C75H122N6O53,1954.7,3,0,0,CHO-N-glycan,1,3,1,1
71,72,A3S1G0F,S-G-Gn-,Gn-,Gn-,None,C81H132N6O57,2100.76,3,1,0,CHO-N-glycan,1,3,1,1
72,73,A4S1G0,S-G-Gn-,Gn-,Gn-,Gn-,C83H135N7O58,2157.78,3,0,0,CHO-N-glycan,1,4,1,1
73,74,A4S1G0F,S-G-Gn-,Gn-,Gn-,Gn-,C89H145N7O62,2303.84,3,1,0,CHO-N-glycan,1,4,1,1
74,75,A2S1G1M4,S-G-Gn-,G-Gn-,None,None,C79H129N5O58,2075.73,4,0,0,CHO-N-glycan,1,2,2,3
75,76,A2S1G1M4F,S-G-Gn-,G-Gn-,None,None,C85H139N5O62,2221.79,4,1,0,CHO-N-glycan,1,2,2,3
76,77,A2S1G1M5,S-G-Gn-,G-Gn-,None,None,C85H139N5O63,2237.78,5,0,0,CHO-N-glycan,1,2,2,4
77,78,A2S1G1M5F,S-G-Gn-,G-Gn-,None,None,C91H149N5O67,2383.84,5,1,0,CHO-N-glycan,1,2,2,4
78,79,A3S1G1,S-G-Gn-,G-Gn-,Gn-,None,C81H132N6O58,2116.76,3,0,0,CHO-N-glycan,1,3,2,2
79,80,A3S1G1F,S-G-Gn-,G-Gn-,Gn-,None,C87H142N6O62,2262.81,3,1,0,CHO-N-glycan,1,3,2,2
80,81,A4S1G1,S-G-Gn-,G-Gn-,Gn-,Gn-,C89H145N7O63,2319.84,3,0,0,CHO-N-glycan,1,4,2,2
81,82,A4S1G1F,S-G-Gn-,G-Gn-,Gn-,Gn-,C95H155N7O67,2465.89,3,1,0,CHO-N-glycan,1,4,2,2
82,83,A3S1G2,S-G-Gn-,G-Gn-,G-Gn-,None,C87H142N6O63,2278.81,3,0,0,CHO-N-glycan,1,3,3,3
83,84,A3S1G2F,S-G-Gn-,G-Gn-,G-Gn-,None,C93H152N6O67,2424.87,3,1,0,CHO-N-glycan,1,3,3,3
84,85,A4S1G2,S-G-Gn-,G-Gn-,G-Gn-,Gn-,C95H155N7O68,2481.89,3,0,0,CHO-N-glycan,1,4,3,3
85,86,A4S1G2F,S-G-Gn-,G-Gn-,G-Gn-,Gn-,C101H165N7O72,2627.95,3,1,0,CHO-N-glycan,1,4,3,3
86,87,A4S1G3,S-G-Gn-,G-Gn-,G-Gn-,G-Gn-,C101H165N7O73,2643.94,3,0,0,CHO-N-glycan,1,4,4,4
87,88,A4S1G3F,S-G-Gn-,G-Gn-,G-Gn-,G-Gn-,C107H175N7O77,2790,3,1,0,CHO-N-glycan,1,4,4,4
88,89,A2S2M4,S-G-Gn-,S-G-Gn-,None,None,C90H146N6O66,2366.83,4,0,0,CHO-N-glycan,2,2,2,3
89,90,A2S2M4F,S-G-Gn-,S-G-Gn-,None,None,C96H156N6O70,2512.88,4,1,0,CHO-N-glycan,2,2,2,3
90,91,A2S2M5,S-G-Gn-,S-G-Gn-,None,None,C96H156N6O71,2528.88,5,0,0,CHO-N-glycan,2,2,2,4
91,92,A2S2M5F,S-G-Gn-,S-G-Gn-,None,None,C102H166N6O75,2674.94,5,1,0,CHO-N-glycan,2,2,2,4
92,93,A3S2G0,S-G-Gn-,S-G-Gn-,Gn-,None,C92H149N7O66,2407.85,3,0,0,CHO-N-glycan,2,3,2,2
