,#,Glycan,Antenna 1,Antenna 2,Antenna 3,Antenna 4,Formula,Monoisotopic mass,Man,Fuc,Bisecting Gn,Host Cell Line,NSa,NGn,NGal,NHex
184,13,A2G0FB,Gn-,None,Gn-,None,C64H105N5O44,1647.61,3,1,1,Human-N-glycan,0,2,0,0
185,17,A2G1B,G-Gn-,None,Gn-,None,C64H105N5O45,1663.61,3,0,1,Human-N-glycan,0,2,1,1
186,19,A2G1FB,G-Gn-,None,Gn-,None,C70H115N5O49,1809.67,3,1,1,Human-N-glycan,0,2,1,1
187,21,A2G2B,G-Gn-,None,G-Gn-,None,C70H115N5O50,1825.66,3,0,1,Human-N-glycan,0,2,2,2
188,23,A2G2FB,G-Gn-,None,G-Gn-,None,C76H125N5O54,1971.72,3,1,1,Human-N-glycan,0,2,2,2
189,27,A2S1G0B,S-G-Gn-,None,Gn-,None,C75H122N6O53,1954.7,3,0,1,Human-N-glycan,1,2,1,1
190,29,A2S1G0FB,S-G-Gn-,None,Gn-,None,C81H132N6O57,2100.76,3,1,1,Human-N-glycan,1,2,1,1
191,31,A2S1G1B,S-G-Gn-,None,G-Gn-,None,C81H132N6O58,2116.76,3,0,1,Human-N-glycan,1,2,2,2
192,33,A2S1G1FB,S-G-Gn-,None,G-Gn-,None,C87H142N6O62,2262.81,3,1,1,Human-N-glycan,1,2,2,2
193,35,A2S2B,S-G-Gn-,None,S-G-Gn-,None,C92H149N7O66,2407.85,3,0,1,Human-N-glycan,2,2,2,2
194,37,A2S2FB,S-G-Gn-,None,S-G-Gn-,None,C98H159N7O70,2553.91,3,1,1,Human-N-glycan,2,2,2,2
195,1,GalNAc,None,None,None,None,None,203.079,0,0,0,O-glycan,0,1,0,0
196,2,GalNAc-3G,None,None,None,None,None,365.132,0,0,0,O-glycan,0,1,1,1
197,3,GalNAc-3GnG,None,None,None,None,None,568.212,0,0,0,O-glycan,0,2,1,1
198,4,GalNAc-3SG,None,None,None,None,None,656.228,0,0,0,O-glycan,1,1,1,1
199,5,GalNAc-6GGn,None,None,None,None,None,568.212,0,0,0,O-glycan,0,2,1,1
200,6,GalNAc-6GGn-3G,None,None,None,None,None,730.264,0,0,0,O-glycan,0,2,2,2
201,7,GalNAc-6GGn-3GnG,None,None,None,None,None,933.344,0,0,0,O-glycan,0,3,2,2
202,8,GalNAc-6GGn-3SG,None,None,None,None,None,1021.36,0,0,0,O-glycan,1,2,2,2
203,9,GalNAc-6Gn,None,None,None,None,None,406.159,0,0,0,O-glycan,0,2,0,0
204,10,GalNAc-6Gn-3G,None,None,None,None,None,568.212,0,0,0,O-glycan,0,2,1,1
205,11,GalNAc-6Gn-3GnG,None,None,None,None,None,771.291,0,0,0,O-glycan,0,3,1,1
206,12,GalNAc-6Gn-3SG,None,None,None,None,None,859.307,0,0,0,O-glycan,1,2,1,1
207,13,GalNAc-6S,None,None,None,None,None,494.175,0,0,0,O-glycan,1,1,0,0
208,14,GalNAc-6S-3G,None,None,None,None,None,656.228,0,0,0,O-glycan,1,1,1,1
209,15,GalNAc-6S-3GnG,None,None,None,None,None,859.307,0,0,0,O-glycan,1,2,1,1
210,16,GalNAc-6S-3SG,None,None,None,None,None,947.323,0,0,0,O-glycan,2,1,1,1
